Entity,Code,Year,Urban population living in slums
Afghanistan,AFG,2006,3706745
Afghanistan,AFG,2008,3919555
Afghanistan,AFG,2010,4336525
Afghanistan,AFG,2012,4949920
Afghanistan,AFG,2014,5605681
Afghanistan,AFG,2016,6250652
Afghanistan,AFG,2018,6855966
Afghanistan,AFG,2020,7434756
Albania,ALB,2000,362319
Albania,ALB,2002,338441
Albania,ALB,2004,317820
Albania,ALB,2006,293332
Albania,ALB,2008,263737
Albania,ALB,2010,234006
Albania,ALB,2012,203277
Albania,ALB,2014,167902
Albania,ALB,2016,131059
Albania,ALB,2018,91635
Albania,ALB,2020,49354
Algeria,DZA,2008,7037635
Algeria,DZA,2010,7458951
Algeria,DZA,2012,7417538
Algeria,DZA,2014,6799331
Algeria,DZA,2016,6075330
Algeria,DZA,2018,5228593
Algeria,DZA,2020,4249876
Angola,AGO,2000,1617625
Angola,AGO,2002,1810261
Angola,AGO,2004,2023378
Angola,AGO,2006,2951871
Angola,AGO,2008,4035842
Angola,AGO,2010,5315445
Angola,AGO,2012,6819018
Angola,AGO,2014,8563057
Angola,AGO,2016,10557461
Angola,AGO,2018,12821945
Angola,AGO,2020,13983955
Argentina,ARG,2000,6705579
Argentina,ARG,2002,6635086
Argentina,ARG,2004,6546687
Argentina,ARG,2006,6450390
Argentina,ARG,2008,6340111
Argentina,ARG,2010,6174866
Argentina,ARG,2012,6060871
Armenia,ARM,2000,262184
Armenia,ARM,2002,245469
Armenia,ARM,2004,232015
Armenia,ARM,2006,218883
Armenia,ARM,2008,205811
Armenia,ARM,2010,193470
Armenia,ARM,2012,181761
Armenia,ARM,2014,170949
Armenia,ARM,2016,160603
Armenia,ARM,2018,150371
Armenia,ARM,2020,149117
Austria,AUT,2000,217080
Austria,AUT,2002,212137
Austria,AUT,2004,212482
Austria,AUT,2006,212951
Azerbaijan,AZE,2000,2106804
Azerbaijan,AZE,2002,1901723
Azerbaijan,AZE,2004,1687791
Azerbaijan,AZE,2006,1469317
Azerbaijan,AZE,2008,1250401
Azerbaijan,AZE,2010,1302054
Azerbaijan,AZE,2012,1348716
Bangladesh,BGD,2000,17771202
Bangladesh,BGD,2002,19149731
Bangladesh,BGD,2004,20666963
Bangladesh,BGD,2006,22126890
Bangladesh,BGD,2008,23478372
Bangladesh,BGD,2010,24902276
Bangladesh,BGD,2012,26492453
Bangladesh,BGD,2014,28139151
Bangladesh,BGD,2016,29798628
Bangladesh,BGD,2018,31487390
